parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.3647597,2021-08-01T07:01:00Z,1388,45,2185,2[Zeil],2021-08-01T06:57:01.181Z
0.24086379,2021-08-01T07:21:00Z,457,150,602,1[Anlagenring],2021-08-01T07:17:00.917Z
0.071428575,2021-08-01T07:21:00Z,338,0,364,4[Bahnhofsviertel],2021-08-01T07:17:00.917Z
0.36842105,2021-08-01T07:21:00Z,780,0,1235,5[Dom / Römer],2021-08-01T07:17:00.917Z
0.36750573,2021-08-01T07:21:00Z,1382,45,2185,2[Zeil],2021-08-01T07:17:00.917Z
0.2475083,2021-08-01T07:31:00Z,453,150,602,1[Anlagenring],2021-08-01T07:27:00.714Z
0.071428575,2021-08-01T07:31:00Z,338,0,364,4[Bahnhofsviertel],2021-08-01T07:27:00.714Z
0.3708502,2021-08-01T07:31:00Z,777,0,1235,5[Dom / Römer],2021-08-01T07:27:00.714Z
0.36842105,2021-08-01T07:31:00Z,1380,45,2185,2[Zeil],2021-08-01T07:27:00.714Z
0.2591362,2021-08-01T07:41:00Z,446,150,602,1[Anlagenring],2021-08-01T07:37:02.045Z
0.071428575,2021-08-01T07:41:00Z,338,0,364,4[Bahnhofsviertel],2021-08-01T07:37:02.045Z
0.37246963,2021-08-01T07:41:00Z,775,0,1235,5[Dom / Römer],2021-08-01T07:37:02.045Z
0.37116703,2021-08-01T07:41:00Z,1374,45,2185,2[Zeil],2021-08-01T07:37:02.045Z
0.2740864,2021-08-01T07:56:00Z,437,150,602,1[Anlagenring],2021-08-01T07:52:02.354Z
0.082417585,2021-08-01T07:56:00Z,334,0,364,4[Bahnhofsviertel],2021-08-01T07:52:02.354Z
0.3757085,2021-08-01T07:56:00Z,771,0,1235,5[Dom / Römer],2021-08-01T07:52:02.354Z
0.37391305,2021-08-01T07:56:00Z,1368,45,2185,2[Zeil],2021-08-01T07:52:02.354Z
0.32724252,2021-08-01T08:22:00Z,405,150,602,1[Anlagenring],2021-08-01T08:22:00.507Z
0.08516484,2021-08-01T08:22:00Z,333,0,364,4[Bahnhofsviertel],2021-08-01T08:22:00.507Z
0.38380566,2021-08-01T08:22:00Z,761,0,1235,5[Dom / Römer],2021-08-01T08:22:00.507Z
0.37528604,2021-08-01T08:22:00Z,1365,45,2185,2[Zeil],2021-08-01T08:22:00.507Z
0.33887044,2021-08-01T08:42:00Z,398,150,602,1[Anlagenring],2021-08-01T08:42:02.724Z
0.093406595,2021-08-01T08:42:00Z,330,0,364,4[Bahnhofsviertel],2021-08-01T08:42:02.724Z
0.3902834,2021-08-01T08:42:00Z,753,0,1235,5[Dom / Römer],2021-08-01T08:42:02.724Z
0.3798627,2021-08-01T08:42:00Z,1355,45,2185,2[Zeil],2021-08-01T08:42:02.724Z
0.3488372,2021-08-01T08:52:00Z,392,150,602,1[Anlagenring],2021-08-01T08:52:00.854Z
0.09065934,2021-08-01T08:52:00Z,331,0,364,4[Bahnhofsviertel],2021-08-01T08:52:00.854Z
