parkingFacilityOccupancy;parkingFacilityStatus;parkingFacilityStatusTime;totalNumberOfOccupiedParkingSpaces;totalNumberOfVacantParkingSpaces;totalParkingCapacityLongTermOverride;totalParkingCapacityOverride;totalParkingCapacityShortTermOverride;id;TIME
0.5278121;open;2021-10-01T05:12:00Z;427;382;0;809;809;24279[Konstabler];2021-10-01T05:17:01.345Z
0.5058824;open;2021-10-01T05:12:00Z;344;336;0;680;680;18495[Am Gericht];2021-10-01T05:17:01.345Z
0.101580136;open;2021-10-01T05:12:00Z;90;796;70;956;886;109240[MyZeil];2021-10-01T05:17:01.345Z
0.4511041;open;2021-10-01T05:12:00Z;286;348;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T05:17:01.345Z
0.16666667;open;2021-10-01T05:22:00Z;25;125;200;350;150;24276[Turmcenter];2021-10-01T05:27:01.867Z
0.13432837;open;2021-10-01T05:22:00Z;54;348;0;402;402;18944[Alte Oper];2021-10-01T05:27:01.867Z
0.09615385;open;2021-10-01T05:22:00Z;35;329;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T05:27:01.867Z
0.5164319;open;2021-10-01T05:22:00Z;220;206;0;426;426;18497[Hauptwache];2021-10-01T05:27:01.867Z
0.52657604;open;2021-10-01T05:22:00Z;426;383;0;809;809;24279[Konstabler];2021-10-01T05:27:01.867Z
0.5088235;open;2021-10-01T05:22:00Z;346;334;0;680;680;18495[Am Gericht];2021-10-01T05:27:01.867Z
0.103837475;open;2021-10-01T05:22:00Z;92;794;70;956;886;109240[MyZeil];2021-10-01T05:27:01.867Z
0.45583597;open;2021-10-01T05:22:00Z;289;345;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T05:27:01.867Z
0.16666667;open;2021-10-01T05:32:00Z;25;125;200;350;150;24276[Turmcenter];2021-10-01T05:37:00.488Z
0.13681592;open;2021-10-01T05:32:00Z;55;347;0;402;402;18944[Alte Oper];2021-10-01T05:37:00.488Z
0.104395606;open;2021-10-01T05:32:00Z;38;326;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T05:37:00.488Z
0.52582157;open;2021-10-01T05:32:00Z;224;202;0;426;426;18497[Hauptwache];2021-10-01T05:37:00.488Z
0.53152037;open;2021-10-01T05:32:00Z;430;379;0;809;809;24279[Konstabler];2021-10-01T05:37:00.488Z
0.5176471;open;2021-10-01T05:32:00Z;352;328;0;680;680;18495[Am Gericht];2021-10-01T05:37:00.488Z
0.10496614;open;2021-10-01T05:32:00Z;93;793;70;956;886;109240[MyZeil];2021-10-01T05:37:00.488Z
0.46214512;open;2021-10-01T05:32:00Z;293;341;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T05:37:00.488Z
0.25333333;open;2021-10-01T05:47:00Z;38;112;200;350;150;24276[Turmcenter];2021-10-01T05:52:00.408Z
0.1442786;open;2021-10-01T05:47:00Z;58;344;0;402;402;18944[Alte Oper];2021-10-01T05:52:00.408Z
0.12637363;open;2021-10-01T05:47:00Z;46;318;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T05:52:00.408Z
0.52816904;open;2021-10-01T05:47:00Z;225;201;0;426;426;18497[Hauptwache];2021-10-01T05:52:00.408Z
0.5512979;open;2021-10-01T05:47:00Z;446;363;0;809;809;24279[Konstabler];2021-10-01T05:52:00.408Z
0.54264706;open;2021-10-01T05:47:00Z;369;311;0;680;680;18495[Am Gericht];2021-10-01T05:52:00.408Z
0.10722347;open;2021-10-01T05:47:00Z;95;791;70;956;886;109240[MyZeil];2021-10-01T05:52:00.408Z
0.47160885;open;2021-10-01T05:47:00Z;299;335;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T05:52:00.408Z
0.31333333;open;2021-10-01T06:02:00Z;47;103;200;350;150;24276[Turmcenter];2021-10-01T06:07:01.568Z
0.14925373;open;2021-10-01T06:02:00Z;60;342;0;402;402;18944[Alte Oper];2021-10-01T06:07:01.568Z
0.16208792;open;2021-10-01T06:02:00Z;59;305;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T06:07:01.568Z
0.54460096;open;2021-10-01T06:02:00Z;232;194;0;426;426;18497[Hauptwache];2021-10-01T06:07:01.568Z
0.5686032;open;2021-10-01T06:02:00Z;460;349;0;809;809;24279[Konstabler];2021-10-01T06:07:01.568Z
0.5720588;open;2021-10-01T06:02:00Z;389;291;0;680;680;18495[Am Gericht];2021-10-01T06:07:01.568Z
0.11286682;open;2021-10-01T06:02:00Z;100;786;70;956;886;109240[MyZeil];2021-10-01T06:07:01.568Z
0.47949526;open;2021-10-01T06:02:00Z;304;330;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T06:07:01.568Z
0.44;open;2021-10-01T06:27:00Z;66;84;200;350;150;24276[Turmcenter];2021-10-01T06:32:01.437Z
0.16915423;open;2021-10-01T06:27:00Z;68;334;0;402;402;18944[Alte Oper];2021-10-01T06:32:01.437Z
0.18681319;open;2021-10-01T06:27:00Z;68;296;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T06:32:01.437Z
0.5680751;open;2021-10-01T06:27:00Z;242;184;0;426;426;18497[Hauptwache];2021-10-01T06:32:01.437Z
0.58467245;open;2021-10-01T06:27:00Z;473;336;0;809;809;24279[Konstabler];2021-10-01T06:32:01.437Z
0.6220588;open;2021-10-01T06:27:00Z;423;257;0;680;680;18495[Am Gericht];2021-10-01T06:32:01.437Z
0.12528217;open;2021-10-01T06:27:00Z;111;775;70;956;886;109240[MyZeil];2021-10-01T06:32:01.437Z
0.5094637;open;2021-10-01T06:27:00Z;323;311;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T06:32:01.437Z
0.53333336;open;2021-10-01T06:43:00Z;80;70;200;350;150;24276[Turmcenter];2021-10-01T06:47:01.167Z
0.19402985;open;2021-10-01T06:43:00Z;78;324;0;402;402;18944[Alte Oper];2021-10-01T06:47:01.167Z
0.22527473;open;2021-10-01T06:43:00Z;82;282;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T06:47:01.167Z
0.59859157;open;2021-10-01T06:43:00Z;255;171;0;426;426;18497[Hauptwache];2021-10-01T06:47:01.167Z
0.6044499;open;2021-10-01T06:43:00Z;489;320;0;809;809;24279[Konstabler];2021-10-01T06:47:01.167Z
0.6338235;open;2021-10-01T06:43:00Z;431;249;0;680;680;18495[Am Gericht];2021-10-01T06:47:01.167Z
0.1309255;open;2021-10-01T06:43:00Z;116;770;70;956;886;109240[MyZeil];2021-10-01T06:47:01.167Z
0.533123;open;2021-10-01T06:43:00Z;338;296;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T06:47:01.167Z
0.56666666;open;2021-10-01T06:58:00Z;85;65;200;350;150;24276[Turmcenter];2021-10-01T07:02:01.042Z
0.22636816;open;2021-10-01T06:58:00Z;91;311;0;402;402;18944[Alte Oper];2021-10-01T07:02:01.042Z
0.22527473;open;2021-10-01T06:58:00Z;82;282;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T07:02:01.042Z
0.6126761;open;2021-10-01T06:58:00Z;261;165;0;426;426;18497[Hauptwache];2021-10-01T07:02:01.042Z
0.6266996;open;2021-10-01T06:58:00Z;507;302;0;809;809;24279[Konstabler];2021-10-01T07:02:01.042Z
0.6720588;open;2021-10-01T06:58:00Z;457;223;0;680;680;18495[Am Gericht];2021-10-01T07:02:01.042Z
0.14221218;open;2021-10-01T06:58:00Z;126;760;70;956;886;109240[MyZeil];2021-10-01T07:02:01.042Z
0.54731864;open;2021-10-01T06:58:00Z;347;287;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T07:02:01.042Z
0.6333333;open;2021-10-01T07:18:00Z;95;55;200;350;150;24276[Turmcenter];2021-10-01T07:22:01.145Z
0.27114427;open;2021-10-01T07:18:00Z;109;293;0;402;402;18944[Alte Oper];2021-10-01T07:22:01.145Z
