parkingFacilityOccupancy;parkingFacilityStatus;parkingFacilityStatusTime;totalNumberOfOccupiedParkingSpaces;totalNumberOfVacantParkingSpaces;totalParkingCapacityLongTermOverride;totalParkingCapacityOverride;totalParkingCapacityShortTermOverride;id;TIME
0.1640625;open;2021-11-01T08:49:00Z;147;749;70;966;896;109240[MyZeil];2021-11-01T08:52:01.616Z
0.58044165;open;2021-11-01T08:49:00Z;368;266;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T08:52:01.616Z
0.88;open;2021-11-01T09:04:00Z;132;18;200;350;150;24276[Turmcenter];2021-11-01T09:07:01.291Z
0.5479115;open;2021-11-01T09:04:00Z;223;184;0;407;407;18944[Alte Oper];2021-11-01T09:07:01.291Z
0.41483516;open;2021-11-01T09:04:00Z;151;213;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T09:07:01.291Z
0.53152037;open;2021-11-01T09:04:00Z;430;379;0;809;809;24279[Konstabler];2021-11-01T09:07:01.291Z
0.8403756;open;2021-11-01T09:04:00Z;358;68;0;426;426;18497[Hauptwache];2021-11-01T09:07:01.291Z
0.8779412;open;2021-11-01T09:04:00Z;597;83;0;680;680;18495[Am Gericht];2021-11-01T09:07:01.291Z
0.6151419;open;2021-11-01T09:04:00Z;390;244;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T09:07:01.291Z
0.8666667;open;2021-11-01T09:24:00Z;130;20;200;350;150;24276[Turmcenter];2021-11-01T09:27:01.830Z
0.66584766;open;2021-11-01T09:24:00Z;271;136;0;407;407;18944[Alte Oper];2021-11-01T09:27:01.830Z
0.41758242;open;2021-11-01T09:24:00Z;152;212;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T09:27:01.830Z
0.618047;open;2021-11-01T09:24:00Z;500;309;0;809;809;24279[Konstabler];2021-11-01T09:27:01.830Z
0.91549295;open;2021-11-01T09:24:00Z;390;36;0;426;426;18497[Hauptwache];2021-11-01T09:27:01.830Z
0.9014706;open;2021-11-01T09:24:00Z;613;67;0;680;680;18495[Am Gericht];2021-11-01T09:27:01.830Z
0.23549107;open;2021-11-01T09:24:00Z;211;685;70;966;896;109240[MyZeil];2021-11-01T09:27:01.830Z
0.6514196;open;2021-11-01T09:24:00Z;413;221;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T09:27:01.830Z
0.87333333;open;2021-11-01T09:44:00Z;131;19;200;350;150;24276[Turmcenter];2021-11-01T09:47:01.375Z
0.7714988;open;2021-11-01T09:44:00Z;314;93;0;407;407;18944[Alte Oper];2021-11-01T09:47:01.375Z
0.42582417;open;2021-11-01T09:44:00Z;155;209;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T09:47:01.375Z
0.6996292;open;2021-11-01T09:44:00Z;566;243;0;809;809;24279[Konstabler];2021-11-01T09:47:01.375Z
1;open;2021-11-01T09:44:00Z;426;0;0;426;426;18497[Hauptwache];2021-11-01T09:47:01.375Z
0.925;open;2021-11-01T09:44:00Z;629;51;0;680;680;18495[Am Gericht];2021-11-01T09:47:01.375Z
0.27120537;open;2021-11-01T09:44:00Z;243;653;70;966;896;109240[MyZeil];2021-11-01T09:47:01.375Z
0.7097792;open;2021-11-01T09:44:00Z;450;184;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T09:47:01.375Z
0.87333333;open;2021-11-01T09:49:00Z;131;19;200;350;150;24276[Turmcenter];2021-11-01T09:52:02.077Z
0.8083538;open;2021-11-01T09:49:00Z;329;78;0;407;407;18944[Alte Oper];2021-11-01T09:52:02.077Z
0.42582417;open;2021-11-01T09:49:00Z;155;209;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T09:52:02.077Z
0.7169345;open;2021-11-01T09:49:00Z;580;229;0;809;809;24279[Konstabler];2021-11-01T09:52:02.077Z
0.9976526;open;2021-11-01T09:49:00Z;425;1;0;426;426;18497[Hauptwache];2021-11-01T09:52:02.077Z
0.93088233;open;2021-11-01T09:49:00Z;633;47;0;680;680;18495[Am Gericht];2021-11-01T09:52:02.077Z
0.71135646;open;2021-11-01T09:49:00Z;451;183;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T09:52:02.077Z
0.81333333;open;2021-11-01T09:59:00Z;122;28;200;350;150;24276[Turmcenter];2021-11-01T10:02:02.481Z
0.85995084;open;2021-11-01T09:59:00Z;350;57;0;407;407;18944[Alte Oper];2021-11-01T10:02:02.481Z
0.43406594;open;2021-11-01T09:59:00Z;158;206;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T10:02:02.481Z
0.7564895;open;2021-11-01T09:59:00Z;612;197;0;809;809;24279[Konstabler];2021-11-01T10:02:02.481Z
1;open;2021-11-01T09:59:00Z;426;0;0;426;426;18497[Hauptwache];2021-11-01T10:02:02.481Z
0.95;open;2021-11-01T09:59:00Z;646;34;0;680;680;18495[Am Gericht];2021-11-01T10:02:02.481Z
0.30245537;open;2021-11-01T09:59:00Z;271;625;70;966;896;109240[MyZeil];2021-11-01T10:02:02.481Z
0.72397476;open;2021-11-01T09:59:00Z;459;175;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T10:02:02.481Z
0.84;open;2021-11-01T10:14:00Z;126;24;200;350;150;24276[Turmcenter];2021-11-01T10:17:00.649Z
0.9140049;open;2021-11-01T10:14:00Z;372;35;0;407;407;18944[Alte Oper];2021-11-01T10:17:00.649Z
0.41758242;open;2021-11-01T10:14:00Z;152;212;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T10:17:00.649Z
0.829419;open;2021-11-01T10:14:00Z;671;138;0;809;809;24279[Konstabler];2021-11-01T10:17:00.649Z
1;open;2021-11-01T10:14:00Z;426;0;0;426;426;18497[Hauptwache];2021-11-01T10:17:00.649Z
0.9823529;open;2021-11-01T10:14:00Z;668;12;0;680;680;18495[Am Gericht];2021-11-01T10:17:00.649Z
0.34933037;open;2021-11-01T10:14:00Z;313;583;70;966;896;109240[MyZeil];2021-11-01T10:17:00.649Z
0.7570978;open;2021-11-01T10:14:00Z;480;154;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T10:17:00.649Z
0.7266667;open;2021-11-01T10:35:00Z;109;41;200;350;150;24276[Turmcenter];2021-11-01T10:37:00.854Z
1;open;2021-11-01T10:35:00Z;407;0;0;407;407;18944[Alte Oper];2021-11-01T10:37:00.854Z
0.42032966;open;2021-11-01T10:35:00Z;153;211;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T10:37:00.854Z
0.9233622;open;2021-11-01T10:35:00Z;747;62;0;809;809;24279[Konstabler];2021-11-01T10:37:00.854Z
1;open;2021-11-01T10:35:00Z;426;0;0;426;426;18497[Hauptwache];2021-11-01T10:37:00.854Z
0.99852943;open;2021-11-01T10:35:00Z;679;1;0;680;680;18495[Am Gericht];2021-11-01T10:37:00.854Z
0.3872768;open;2021-11-01T10:35:00Z;347;549;70;966;896;109240[MyZeil];2021-11-01T10:37:00.854Z
0.78864354;open;2021-11-01T10:35:00Z;500;134;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T10:37:00.854Z
0.7;open;2021-11-01T10:50:00Z;105;45;200;350;150;24276[Turmcenter];2021-11-01T10:52:00.215Z
1;open;2021-11-01T10:50:00Z;407;0;0;407;407;18944[Alte Oper];2021-11-01T10:52:00.215Z
0.44505495;open;2021-11-01T10:50:00Z;162;202;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T10:52:00.215Z
0.96662545;open;2021-11-01T10:50:00Z;782;27;0;809;809;24279[Konstabler];2021-11-01T10:52:00.215Z
1;open;2021-11-01T10:50:00Z;426;0;0;426;426;18497[Hauptwache];2021-11-01T10:52:00.215Z
0.99264705;open;2021-11-01T10:50:00Z;675;5;0;680;680;18495[Am Gericht];2021-11-01T10:52:00.215Z
0.4107143;open;2021-11-01T10:50:00Z;368;528;70;966;896;109240[MyZeil];2021-11-01T10:52:00.215Z
0.81388015;open;2021-11-01T10:50:00Z;516;118;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T10:52:00.215Z
0.70666665;open;2021-11-01T11:10:00Z;106;44;200;350;150;24276[Turmcenter];2021-11-01T11:12:00.402Z
0.995086;open;2021-11-01T11:10:00Z;405;2;0;407;407;18944[Alte Oper];2021-11-01T11:12:00.402Z
0.43681318;open;2021-11-01T11:10:00Z;159;205;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T11:12:00.402Z
1;open;2021-11-01T11:10:00Z;809;0;0;809;809;24279[Konstabler];2021-11-01T11:12:00.402Z
1;open;2021-11-01T11:10:00Z;426;0;0;426;426;18497[Hauptwache];2021-11-01T11:12:00.402Z
1;open;2021-11-01T11:10:00Z;680;0;0;680;680;18495[Am Gericht];2021-11-01T11:12:00.402Z
0.45200893;open;2021-11-01T11:10:00Z;405;491;70;966;896;109240[MyZeil];2021-11-01T11:12:00.402Z
0.8438486;open;2021-11-01T11:10:00Z;535;99;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T11:12:00.402Z
0.70666665;open;2021-11-01T11:20:00Z;106;44;200;350;150;24276[Turmcenter];2021-11-01T11:22:00.043Z
1;open;2021-11-01T11:20:00Z;407;0;0;407;407;18944[Alte Oper];2021-11-01T11:22:00.043Z
0.42857143;open;2021-11-01T11:20:00Z;156;208;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T11:22:00.043Z
1;open;2021-11-01T11:20:00Z;809;0;0;809;809;24279[Konstabler];2021-11-01T11:22:00.043Z
0.9976526;open;2021-11-01T11:20:00Z;425;1;0;426;426;18497[Hauptwache];2021-11-01T11:22:00.043Z
0.99852943;open;2021-11-01T11:20:00Z;679;1;0;680;680;18495[Am Gericht];2021-11-01T11:22:00.043Z
0.47879463;open;2021-11-01T11:20:00Z;429;467;70;966;896;109240[MyZeil];2021-11-01T11:22:00.043Z
0.8564669;open;2021-11-01T11:20:00Z;543;91;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T11:22:00.043Z
0.68;open;2021-11-01T11:30:00Z;102;48;200;350;150;24276[Turmcenter];2021-11-01T11:32:00.795Z
1;open;2021-11-01T11:30:00Z;407;0;0;407;407;18944[Alte Oper];2021-11-01T11:32:00.795Z
0.43131867;open;2021-11-01T11:30:00Z;157;207;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T11:32:00.795Z
1;open;2021-11-01T11:30:00Z;809;0;0;809;809;24279[Konstabler];2021-11-01T11:32:00.795Z
0.9976526;open;2021-11-01T11:30:00Z;425;1;0;426;426;18497[Hauptwache];2021-11-01T11:32:00.795Z
0.9911765;open;2021-11-01T11:30:00Z;674;6;0;680;680;18495[Am Gericht];2021-11-01T11:32:00.795Z
0.50446427;open;2021-11-01T11:30:00Z;452;444;70;966;896;109240[MyZeil];2021-11-01T11:32:00.795Z
0.88801265;open;2021-11-01T11:30:00Z;563;71;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T11:32:00.795Z
0.66;open;2021-11-01T11:40:00Z;99;51;200;350;150;24276[Turmcenter];2021-11-01T11:42:00.770Z
0.99017197;open;2021-11-01T11:40:00Z;403;4;0;407;407;18944[Alte Oper];2021-11-01T11:42:00.770Z
0.43956044;open;2021-11-01T11:40:00Z;160;204;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T11:42:00.770Z
1;open;2021-11-01T11:40:00Z;809;0;0;809;809;24279[Konstabler];2021-11-01T11:42:00.770Z
1;open;2021-11-01T11:40:00Z;426;0;0;426;426;18497[Hauptwache];2021-11-01T11:42:00.770Z
0.9911765;open;2021-11-01T11:40:00Z;674;6;0;680;680;18495[Am Gericht];2021-11-01T11:42:00.770Z
0.9006309;open;2021-11-01T11:40:00Z;571;63;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T11:42:00.770Z
0.62666667;open;2021-11-01T11:50:00Z;94;56;200;350;150;24276[Turmcenter];2021-11-01T11:52:00.043Z
1;open;2021-11-01T11:50:00Z;407;0;0;407;407;18944[Alte Oper];2021-11-01T11:52:00.043Z
0.44505495;open;2021-11-01T11:50:00Z;162;202;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T11:52:00.043Z
0.9913473;open;2021-11-01T11:50:00Z;802;7;0;809;809;24279[Konstabler];2021-11-01T11:52:00.043Z
0.9976526;open;2021-11-01T11:50:00Z;425;1;0;426;426;18497[Hauptwache];2021-11-01T11:52:00.043Z
0.99852943;open;2021-11-01T11:50:00Z;679;1;0;680;680;18495[Am Gericht];2021-11-01T11:52:00.043Z
0.5770089;open;2021-11-01T11:50:00Z;517;379;70;966;896;109240[MyZeil];2021-11-01T11:52:00.043Z
0.9053628;open;2021-11-01T11:50:00Z;574;60;0;634;634;18494[Konrad-Adenauer-Straße];2021-11-01T11:52:00.043Z
0.6;open;2021-11-01T12:00:00Z;90;60;200;350;150;24276[Turmcenter];2021-11-01T12:02:02.802Z
1;open;2021-11-01T12:00:00Z;407;0;0;407;407;18944[Alte Oper];2021-11-01T12:02:02.802Z
0.43956044;open;2021-11-01T12:00:00Z;160;204;0;364;364;24281[Hauptbahnhof Süd];2021-11-01T12:02:02.802Z
1;open;2021-11-01T12:00:00Z;809;0;0;809;809;24279[Konstabler];2021-11-01T12:02:02.802Z
